# Species	Genes	Alg.-Conn.	chengduensis_protein.faa	ludwigii_protein.faa	oligotrophicus_protein.faa	sichuanensis_protein.faa	soli_protein.faa
5	5	0.964	WP_032638595.1	WP_032677564.1	WP_059386529.1	WP_059386529.1	WP_014069189.1
5	5	0.964	WP_032638836.1	WP_040016922.1	WP_025756329.1	WP_025756329.1	WP_014069318.1
5	5	0.964	WP_032638899.1	WP_040016943.1	WP_155030858.1	WP_155030858.1	WP_014069364.1
5	5	0.964	WP_032639064.1	WP_040016987.1	WP_094918017.1	WP_094918017.1	WP_014069463.1
5	5	0.964	WP_032639078.1	WP_014169269.1	WP_155030890.1	WP_155030890.1	WP_014069470.1
5	5	0.964	WP_032639152.1	WP_020884872.1	WP_025756080.1	WP_025756080.1	WP_041162020.1
5	5	0.964	WP_032639581.1	WP_020884700.1	WP_025755856.1	WP_025755856.1	WP_014069737.1
5	5	0.964	WP_032639666.1	WP_032677877.1	WP_045284996.1	WP_045284996.1	WP_014069782.1
5	5	0.964	WP_032639724.1	WP_014169603.1	WP_008500765.1	WP_008500765.1	WP_014069817.1
5	5	0.964	WP_032640083.1	WP_025204333.1	WP_025758569.1	WP_025758569.1	WP_014070013.1
5	5	0.964	WP_032640490.1	WP_014169860.1	WP_045284879.1	WP_045284879.1	WP_014070055.1
5	5	0.964	WP_032641639.1	WP_040017955.1	WP_025758727.1	WP_025758727.1	WP_014070936.1
5	5	0.964	WP_032641698.1	WP_040017968.1	WP_059387087.1	WP_059387087.1	WP_014070982.1
5	5	0.964	WP_032641753.1	WP_032678567.1	WP_095441372.1	WP_095441372.1	WP_014071010.1
5	5	0.964	WP_032641945.1	WP_025203591.1	WP_025757191.1	WP_025757191.1	WP_014071094.1
5	5	0.964	WP_032641992.1	WP_020883132.1	WP_047959154.1	WP_047959154.1	WP_014071127.1
5	5	0.964	WP_032642613.1	WP_040019035.1	WP_045285945.1	WP_045285945.1	WP_014070496.1
5	5	0.964	WP_032642849.1	WP_020883917.1	WP_045286631.1	WP_045286631.1	WP_014071404.1
5	5	0.964	WP_032642860.1	WP_014171249.1	WP_003863133.1	WP_003863133.1	WP_003863133.1
5	5	0.964	WP_032643029.1	WP_040018923.1	WP_155031630.1	WP_155031630.1	WP_014071510.1
5	5	0.964	WP_032643123.1	WP_014171412.1	WP_025757058.1	WP_025757058.1	WP_014071562.1
5	5	0.964	WP_032643234.1	WP_020883753.1	WP_095441228.1	WP_095441228.1	WP_014071639.1
5	5	0.964	WP_032643760.1	WP_040018445.1	WP_025758227.1	WP_025758227.1	WP_014068591.1
5	5	0.964	WP_032643820.1	WP_020882936.1	WP_155030588.1	WP_155030588.1	WP_014068629.1
5	5	0.964	WP_032643865.1	WP_040019071.1	WP_155030614.1	WP_155030614.1	WP_014068685.1
5	5	0.964	WP_032643933.1	WP_014168469.1	WP_021240620.1	WP_021240620.1	WP_014068735.1
5	5	0.964	WP_032644225.1	WP_020882736.1	WP_095452042.1	WP_095452042.1	WP_014068270.1
5	5	0.964	WP_032644390.1	WP_014168040.1	WP_025757025.1	WP_025757025.1	WP_014068334.1
5	5	0.964	WP_032644480.1	WP_020882640.1	WP_155030531.1	WP_155030531.1	WP_014068427.1
5	5	0.964	WP_032644499.1	WP_014168156.1	WP_008503454.1	WP_008503454.1	WP_014068451.1
5	5	0.964	WP_032644591.1	WP_040018217.1	WP_155031830.1	WP_155031830.1	WP_014072140.1
5	5	0.964	WP_045890413.1	WP_020884735.1	WP_155030968.1	WP_155030968.1	WP_014069676.1
5	5	0.964	WP_077064333.1	WP_014171175.1	WP_047959236.1	WP_047959236.1	WP_014071342.1
5	5	0.963	WP_000246815.1	WP_000246815.1	WP_000246815.1	WP_000246815.1	WP_000246815.1
5	5	0.963	WP_000529945.1	WP_000529945.1	WP_000529945.1	WP_000529945.1	WP_000529945.1
5	5	0.963	WP_003856610.1	WP_003856610.1	WP_003856610.1	WP_003856610.1	WP_003856610.1
5	5	0.963	WP_003856804.1	WP_020882438.1	WP_003856804.1	WP_003856804.1	WP_014070502.1
5	5	0.963	WP_003858972.1	WP_010428194.1	WP_003858972.1	WP_003858972.1	WP_003858972.1
5	5	0.963	WP_003861496.1	WP_003861496.1	WP_003861496.1	WP_003861496.1	WP_003861496.1
5	5	0.963	WP_003861789.1	WP_013098914.1	WP_003861789.1	WP_003861789.1	WP_003861789.1
5	5	0.963	WP_006179183.1	WP_007369220.1	WP_003862042.1	WP_003862042.1	WP_007369220.1
5	5	0.963	WP_006809243.1	WP_014169584.1	WP_006809243.1	WP_006809243.1	WP_014069796.1
5	5	0.963	WP_008500417.1	WP_008500417.1	WP_008500417.1	WP_008500417.1	WP_008500417.1
5	5	0.963	WP_008500940.1	WP_008500940.1	WP_008500940.1	WP_008500940.1	WP_008500940.1
5	5	0.963	WP_008501890.1	WP_014168720.1	WP_025756830.1	WP_025756830.1	WP_010426685.1
5	5	0.963	WP_008502895.1	WP_003856035.1	WP_025758284.1	WP_025758284.1	WP_014068638.1
5	5	0.963	WP_013096896.1	WP_006174966.1	WP_006174966.1	WP_006174966.1	WP_006174966.1
5	5	0.963	WP_014882201.1	WP_014168284.1	WP_155030577.1	WP_155030577.1	WP_014068589.1
5	5	0.963	WP_021242727.1	WP_020882851.1	WP_000202963.1	WP_000202963.1	WP_014068487.1
5	5	0.963	WP_023310139.1	WP_014168317.1	WP_025758264.1	WP_025758264.1	WP_014068620.1
5	5	0.963	WP_023310326.1	WP_014168542.1	WP_045284834.1	WP_045284834.1	WP_014068810.1
5	5	0.963	WP_023334396.1	WP_014168494.1	WP_025757450.1	WP_025757450.1	WP_014068753.1
5	5	0.963	WP_024908343.1	WP_032680469.1	WP_025759254.1	WP_025759254.1	WP_014071401.1
5	5	0.963	WP_028012694.1	WP_040017132.1	WP_025755841.1	WP_025755841.1	WP_014069757.1
5	5	0.963	WP_032638382.1	WP_040016773.1	WP_025756238.1	WP_025756238.1	WP_014069059.1
5	5	0.963	WP_032638384.1	WP_014168801.1	WP_025756237.1	WP_025756237.1	WP_014069060.1
5	5	0.963	WP_032638540.1	WP_032677533.1	WP_059385616.1	WP_059385616.1	WP_014069155.1
5	5	0.963	WP_032638618.1	WP_040016817.1	WP_155030790.1	WP_155030790.1	WP_014069203.1
5	5	0.963	WP_032638650.1	WP_032681520.1	WP_155030799.1	WP_155030799.1	WP_014069221.1
5	5	0.963	WP_032638670.1	WP_040016833.1	WP_155030803.1	WP_155030803.1	WP_014069238.1
5	5	0.963	WP_032638802.1	WP_014169089.1	WP_155030842.1	WP_155030842.1	WP_014069290.1
5	5	0.963	WP_032639193.1	WP_020884841.1	WP_155030919.1	WP_155030919.1	WP_014069552.1
5	5	0.963	WP_032639346.1	WP_040017084.1	WP_025755965.1	WP_025755965.1	WP_014069637.1
5	5	0.963	WP_032639629.1	WP_040017137.1	WP_155030996.1	WP_155030996.1	WP_014069763.1
5	5	0.963	WP_032640031.1	WP_020884325.1	WP_047958396.1	WP_047958396.1	WP_014069987.1
5	5	0.963	WP_032640688.1	WP_040017552.1	WP_155031215.1	WP_155031215.1	WP_014070331.1
5	5	0.963	WP_032641045.1	WP_014170469.1	WP_045286274.1	WP_045286274.1	WP_014070551.1
5	5	0.963	WP_032641670.1	WP_020883246.1	WP_155031465.1	WP_155031465.1	WP_014070959.1
5	5	0.963	WP_032641820.1	WP_040018007.1	WP_155031499.1	WP_155031499.1	WP_014071057.1
5	5	0.963	WP_032642015.1	WP_020883123.1	WP_025757157.1	WP_025757157.1	WP_003861408.1
5	5	0.963	WP_032642076.1	WP_020883637.1	WP_059384900.1	WP_059384900.1	WP_014071786.1
5	5	0.963	WP_032642306.1	WP_040018767.1	WP_094918733.1	WP_094918733.1	WP_014071867.1
5	5	0.963	WP_032642513.1	WP_025204573.1	WP_025756038.1	WP_025756038.1	WP_014069553.1
5	5	0.963	WP_032642638.1	WP_025203849.1	WP_047959829.1	WP_047959829.1	WP_041162081.1
5	5	0.963	WP_032643137.1	WP_014171421.1	WP_155031658.1	WP_155031658.1	WP_014071571.1
5	5	0.963	WP_032643549.1	WP_040018110.1	WP_047959200.1	WP_047959200.1	WP_014071293.1
5	5	0.963	WP_032643661.1	WP_040018165.1	WP_045284614.1	WP_045284614.1	WP_014071388.1
5	5	0.963	WP_032644014.1	WP_014168563.1	WP_025758040.1	WP_025758040.1	WP_014068831.1
5	5	0.963	WP_032644035.1	WP_032679612.1	WP_155030688.1	WP_155030688.1	WP_014068867.1
5	5	0.963	WP_032644083.1	WP_014168653.1	WP_155030698.1	WP_155030698.1	WP_014068922.1
5	5	0.963	WP_032644112.1	WP_014168679.1	WP_025756800.1	WP_025756800.1	WP_014068946.1
5	5	0.963	WP_032644444.1	WP_040018401.1	WP_025758412.1	WP_025758412.1	WP_014068386.1
5	5	0.963	WP_032644506.1	WP_014168165.1	WP_025759608.1	WP_025759608.1	WP_014068461.1
5	5	0.963	WP_032644715.1	WP_040018688.1	WP_155030560.1	WP_155030560.1	WP_014068534.1
5	5	0.963	WP_065365881.1	WP_040017350.1	WP_155031096.1	WP_155031096.1	WP_014070053.1
5	5	0.963	WP_077064200.1	WP_020883813.1	WP_155031644.1	WP_155031644.1	WP_014071554.1
5	5	0.963	WP_077064261.1	WP_040018375.1	WP_155030501.1	WP_155030501.1	WP_014068331.1
5	5	0.963	WP_077064413.1	WP_040018848.1	WP_047959435.1	WP_047959435.1	WP_014071702.1
5	5	0.962	WP_000868187.1	WP_000868187.1	WP_000868187.1	WP_000868187.1	WP_000868187.1
5	5	0.962	WP_002919773.1	WP_002919773.1	WP_002919773.1	WP_002919773.1	WP_002919773.1
5	5	0.962	WP_003857805.1	WP_003857805.1	WP_003857805.1	WP_003857805.1	WP_003857805.1
5	5	0.962	WP_003859405.1	WP_006176468.1	WP_003859405.1	WP_003859405.1	WP_003859405.1
5	5	0.962	WP_003860835.1	WP_014168079.1	WP_003860835.1	WP_003860835.1	WP_014068374.1
5	5	0.962	WP_003861328.1	WP_014171082.1	WP_155031524.1	WP_155031524.1	WP_014071243.1
5	5	0.962	WP_003861574.1	WP_003861574.1	WP_025759646.1	WP_025759646.1	WP_003861574.1
5	5	0.962	WP_003861754.1	WP_003861754.1	WP_003861754.1	WP_003861754.1	WP_003861754.1
5	5	0.962	WP_003862421.1	WP_020883688.1	WP_003862421.1	WP_003862421.1	WP_014071706.1
5	5	0.962	WP_006177560.1	WP_006177560.1	WP_006177560.1	WP_006177560.1	WP_006177560.1
5	5	0.962	WP_008499467.1	WP_008499467.1	WP_008499467.1	WP_008499467.1	WP_008499467.1
5	5	0.962	WP_008502190.1	WP_013098327.1	WP_008502190.1	WP_008502190.1	WP_014071384.1
5	5	0.962	WP_010427397.1	WP_020882913.1	WP_008501423.1	WP_008501423.1	WP_010427397.1
5	5	0.962	WP_014169079.1	WP_014169079.1	WP_047355420.1	WP_047355420.1	WP_006809671.1
5	5	0.962	WP_023309622.1	WP_014172130.1	WP_045285580.1	WP_045285580.1	WP_014072270.1
5	5	0.962	WP_023333666.1	WP_014171894.1	WP_025759212.1	WP_025759212.1	WP_014072056.1
5	5	0.962	WP_023334536.1	WP_014168669.1	WP_023334536.1	WP_023334536.1	WP_014068938.1
5	5	0.962	WP_028015153.1	WP_014171997.1	WP_047957533.1	WP_047957533.1	WP_014072154.1
5	5	0.962	WP_032638508.1	WP_040016792.1	WP_104556228.1	WP_104556228.1	WP_014069137.1
5	5	0.962	WP_032639052.1	WP_040016983.1	WP_155030886.1	WP_155030886.1	WP_014069453.1
5	5	0.962	WP_032639096.1	WP_040016999.1	WP_155030893.1	WP_155030893.1	WP_014069480.1
5	5	0.962	WP_032639154.1	WP_014169310.1	WP_025756078.1	WP_025756078.1	WP_014069508.1
5	5	0.962	WP_032639242.1	WP_008499983.1	WP_025756021.1	WP_025756021.1	WP_014069569.1
5	5	0.962	WP_032639247.1	WP_014169373.1	WP_059386171.1	WP_059386171.1	WP_014069571.1
5	5	0.962	WP_032639331.1	WP_032677816.1	WP_025755976.1	WP_025755976.1	WP_041162028.1
5	5	0.962	WP_032639692.1	WP_013097102.1	WP_025758152.1	WP_025758152.1	WP_014069806.1
5	5	0.962	WP_032639712.1	WP_014169597.1	WP_045284983.1	WP_045284983.1	WP_014069811.1
5	5	0.962	WP_032641353.1	WP_040017805.1	WP_059385023.1	WP_059385023.1	WP_014070719.1
5	5	0.962	WP_032641700.1	WP_040017969.1	WP_155031473.1	WP_155031473.1	WP_014070983.1
5	5	0.962	WP_032641747.1	WP_032680597.1	WP_047959095.1	WP_047959095.1	WP_014071007.1
5	5	0.962	WP_032642067.1	WP_014171637.1	WP_047959858.1	WP_047959858.1	WP_014071777.1
5	5	0.962	WP_032642246.1	WP_014171712.1	WP_155031772.1	WP_155031772.1	WP_014071828.1
5	5	0.962	WP_032642255.1	WP_040018786.1	WP_025759580.1	WP_025759580.1	WP_014071832.1
5	5	0.962	WP_032642281.1	WP_014171727.1	WP_045286330.1	WP_045286330.1	WP_014071844.1
5	5	0.962	WP_032642290.1	WP_014171733.1	WP_025759870.1	WP_025759870.1	WP_014071852.1
5	5	0.962	WP_032642327.1	WP_040018752.1	WP_059385413.1	WP_059385413.1	WP_014071892.1
5	5	0.962	WP_032642960.1	WP_020883866.1	WP_104557545.1	WP_104557545.1	WP_014071468.1
5	5	0.962	WP_032643627.1	WP_020883024.1	WP_047959238.1	WP_047959238.1	WP_014071344.1
5	5	0.962	WP_032643651.1	WP_014171212.1	WP_025757643.1	WP_025757643.1	WP_014071375.1
5	5	0.962	WP_032643806.1	WP_020882944.1	WP_045284415.1	WP_045284415.1	WP_014068616.1
5	5	0.962	WP_032643830.1	WP_040018470.1	WP_155030595.1	WP_155030595.1	WP_014068646.1
5	5	0.962	WP_032643856.1	WP_040018485.1	WP_155030609.1	WP_155030609.1	WP_014068674.1
5	5	0.962	WP_032643942.1	WP_020885316.1	WP_155030658.1	WP_155030658.1	WP_014068739.1
5	5	0.962	WP_032644136.1	WP_040018665.1	WP_047957784.1	WP_047957784.1	WP_014068977.1
5	5	0.962	WP_032644151.1	WP_014168732.1	WP_155030715.1	WP_155030715.1	WP_014068994.1
5	5	0.962	WP_032644361.1	WP_025202755.1	WP_025758820.1	WP_025758820.1	WP_014072354.1
5	5	0.962	WP_032644502.1	WP_040018433.1	WP_025759613.1	WP_025759613.1	WP_014068457.1
5	5	0.962	WP_032644713.1	WP_020882835.1	WP_045285548.1	WP_045285548.1	WP_014068532.1
5	5	0.962	WP_077064061.1	WP_020884838.1	WP_047958145.1	WP_047958145.1	WP_014069556.1
5	5	0.962	WP_077064070.1	WP_040016985.1	WP_025757273.1	WP_025757273.1	WP_014069458.1
5	5	0.962	WP_077064091.1	WP_040017308.1	WP_155031071.1	WP_155031071.1	WP_014069972.1
5	5	0.962	WP_077064119.1	WP_014170861.1	WP_025760289.1	WP_025760289.1	WP_014070981.1
5	5	0.962	WP_077064430.1	WP_014171784.1	WP_025756714.1	WP_025756714.1	WP_014071901.1
5	5	0.961	WP_001155232.1	WP_001155232.1	WP_001155232.1	WP_001155232.1	WP_001155232.1
5	5	0.961	WP_002445246.1	WP_002445246.1	WP_002445246.1	WP_002445246.1	WP_002445246.1
5	5	0.961	WP_003025032.1	WP_003025032.1	WP_003025032.1	WP_003025032.1	WP_003025032.1
5	5	0.961	WP_003856458.1	WP_008502037.1	WP_003856458.1	WP_003856458.1	WP_003856458.1
5	5	0.961	WP_003861601.1	WP_003861601.1	WP_008503055.1	WP_008503055.1	WP_014072124.1
5	5	0.961	WP_003861872.1	WP_003861872.1	WP_025756690.1	WP_025756690.1	WP_003861872.1
5	5	0.961	WP_004385076.1	WP_004385076.1	WP_004385076.1	WP_004385076.1	WP_004385076.1
5	5	0.961	WP_006810300.1	WP_014168417.1	WP_025759886.1	WP_025759886.1	WP_014068697.1
5	5	0.961	WP_006810338.1	WP_006810338.1	WP_006810338.1	WP_006810338.1	WP_006810338.1
5	5	0.961	WP_008499609.1	WP_008499609.1	WP_008499609.1	WP_008499609.1	WP_003862095.1
5	5	0.961	WP_008499920.1	WP_025204532.1	WP_025755969.1	WP_025755969.1	WP_014069634.1
5	5	0.961	WP_008500194.1	WP_008500194.1	WP_008500194.1	WP_008500194.1	WP_008500194.1
5	5	0.961	WP_008501216.1	WP_008501216.1	WP_008501216.1	WP_008501216.1	WP_014070491.1
5	5	0.961	WP_008501540.1	WP_020882881.1	WP_025757547.1	WP_025757547.1	WP_014072271.1
5	5	0.961	WP_008501831.1	WP_040018301.1	WP_025759554.1	WP_025759554.1	WP_014072386.1
5	5	0.961	WP_008501916.1	WP_014168696.1	WP_008501916.1	WP_008501916.1	WP_010426739.1
5	5	0.961	WP_008503489.1	WP_008503489.1	WP_008503489.1	WP_008503489.1	WP_008503489.1
5	5	0.961	WP_032638328.1	WP_014168769.1	WP_025760273.1	WP_025760273.1	WP_014069028.1
5	5	0.961	WP_032638910.1	WP_040016946.1	WP_047958037.1	WP_047958037.1	WP_014069370.1
5	5	0.961	WP_032639029.1	WP_020884924.1	WP_025757258.1	WP_025757258.1	WP_014069442.1
5	5	0.961	WP_032639501.1	WP_040017107.1	WP_095449506.1	WP_095449506.1	WP_041162208.1
5	5	0.961	WP_032640451.1	WP_040017360.1	WP_155031110.1	WP_155031110.1	WP_080562856.1
5	5	0.961	WP_032640793.1	WP_020884041.1	WP_045285035.1	WP_045285035.1	WP_014070411.1
5	5	0.961	WP_032641080.1	WP_040017716.1	WP_045286259.1	WP_045286259.1	WP_014070577.1
5	5	0.961	WP_032641265.1	WP_040017777.1	WP_155031369.1	WP_155031369.1	WP_074392893.1
5	5	0.961	WP_032641573.1	WP_014170787.1	WP_059385176.1	WP_059385176.1	WP_041162250.1
5	5	0.961	WP_032641631.1	WP_025203687.1	WP_025758734.1	WP_025758734.1	WP_014070931.1
5	5	0.961	WP_032642835.1	WP_040018991.1	WP_025759247.1	WP_025759247.1	WP_014071394.1
5	5	0.961	WP_032643594.1	WP_020883041.1	WP_155031556.1	WP_155031556.1	WP_014071319.1
5	5	0.961	WP_032644366.1	WP_014168008.1	WP_045286460.1	WP_045286460.1	WP_014068298.1
5	5	0.961	WP_032644449.1	WP_040018407.1	WP_155030518.1	WP_155030518.1	WP_014068392.1
5	5	0.961	WP_032644472.1	WP_014168122.1	WP_047957487.1	WP_047957487.1	WP_014068418.1
5	5	0.961	WP_032644560.1	WP_020884585.1	WP_025758081.1	WP_025758081.1	WP_014072093.1
5	5	0.961	WP_032644603.1	WP_020884517.1	WP_047959646.1	WP_047959646.1	WP_014072183.1
5	5	0.961	WP_032644617.1	WP_032680113.1	WP_155031838.1	WP_155031838.1	WP_014072202.1
5	5	0.961	WP_032644780.1	WP_014172116.1	WP_155031855.1	WP_155031855.1	WP_014072254.1
5	5	0.961	WP_077064188.1	WP_020883444.1	WP_155031358.1	WP_155031358.1	WP_014070623.1
5	5	0.961	WP_077064423.1	WP_014172232.1	WP_045285696.1	WP_045285696.1	WP_014072387.1
5	5	0.96	WP_000135058.1	WP_000135058.1	WP_000135058.1	WP_000135058.1	WP_000135058.1
5	5	0.96	WP_001181005.1	WP_001181005.1	WP_001181005.1	WP_001181005.1	WP_001181005.1
5	5	0.96	WP_001216368.1	WP_001216372.1	WP_001216368.1	WP_001216368.1	WP_001216372.1
5	5	0.96	WP_002436699.1	WP_002436699.1	WP_002436699.1	WP_002436699.1	WP_002436699.1
5	5	0.96	WP_008500192.1	WP_014172281.1	WP_013099407.1	WP_013099407.1	WP_003862369.1
5	5	0.96	WP_008502940.1	WP_014882207.1	WP_025758229.1	WP_025758229.1	WP_010427766.1
5	5	0.96	WP_014833577.1	WP_014171987.1	WP_045285558.1	WP_045285558.1	WP_014072144.1
5	5	0.96	WP_023309388.1	WP_014171847.1	WP_025756668.1	WP_025756668.1	WP_003860428.1
5	5	0.96	WP_023309399.1	WP_014071997.1	WP_025756658.1	WP_025756658.1	WP_014071997.1
5	5	0.96	WP_032638331.1	WP_040016762.1	WP_155030740.1	WP_155030740.1	WP_014069030.1
5	5	0.96	WP_032638459.1	WP_040016784.1	WP_047957873.1	WP_047957873.1	WP_014069106.1
5	5	0.96	WP_032638882.1	WP_014169148.1	WP_023334913.1	WP_023334913.1	WP_041162017.1
5	5	0.96	WP_032639238.1	WP_014169368.1	WP_059386168.1	WP_059386168.1	WP_014069567.1
5	5	0.96	WP_032639850.1	WP_040017246.1	WP_104556286.1	WP_104556286.1	WP_014069886.1
5	5	0.96	WP_032639993.1	WP_014169778.1	WP_155031069.1	WP_155031069.1	WP_014069968.1
5	5	0.96	WP_032640224.1	WP_020884175.1	WP_025756399.1	WP_025756399.1	WP_014070252.1
5	5	0.96	WP_032640681.1	WP_014170160.1	WP_045285768.1	WP_045285768.1	WP_014070327.1
5	5	0.96	WP_032640836.1	WP_032670341.1	WP_013096478.1	WP_013096478.1	WP_014070436.1
5	5	0.96	WP_032641043.1	WP_014170457.1	WP_025756547.1	WP_025756547.1	WP_014070549.1
5	5	0.96	WP_032641314.1	WP_020883391.1	WP_025756930.1	WP_025756930.1	WP_014070698.1
5	5	0.96	WP_032641324.1	WP_020883387.1	WP_155031384.1	WP_155031384.1	WP_014070702.1
5	5	0.96	WP_032642392.1	WP_014171824.1	WP_025756686.1	WP_025756686.1	WP_014071960.1
5	5	0.96	WP_032642448.1	WP_020883505.1	WP_155031797.1	WP_155031797.1	WP_014072000.1
5	5	0.96	WP_032642454.1	WP_014171865.1	WP_025756653.1	WP_025756653.1	WP_014072003.1
5	5	0.96	WP_032643574.1	WP_025203476.1	WP_155031550.1	WP_155031550.1	WP_014071309.1
5	5	0.96	WP_032643631.1	WP_014171181.1	WP_047959240.1	WP_047959240.1	WP_014071347.1
5	5	0.96	WP_032643638.1	WP_040018156.1	WP_155031567.1	WP_155031567.1	WP_014071359.1
5	5	0.96	WP_032643866.1	WP_040018494.1	WP_155030615.1	WP_155030615.1	WP_014068686.1
5	5	0.96	WP_032643994.1	WP_040018579.1	WP_095441742.1	WP_095441742.1	WP_014068807.1
5	5	0.96	WP_032644176.1	WP_040018657.1	WP_155030710.1	WP_155030710.1	WP_014068959.1
5	5	0.96	WP_032644594.1	WP_020884537.1	WP_008503071.1	WP_008503071.1	WP_014072174.1
5	5	0.96	WP_032644760.1	WP_040018708.1	WP_155030573.1	WP_155030573.1	WP_014068580.1
5	5	0.96	WP_045327560.1	WP_020885296.1	WP_155030665.1	WP_155030665.1	WP_014068782.1
5	5	0.959	WP_001144069.1	WP_001144069.1	WP_001144069.1	WP_001144069.1	WP_001144069.1
5	5	0.959	WP_008500420.1	WP_020883376.1	WP_014884351.1	WP_014884351.1	WP_008500420.1
5	5	0.959	WP_008500772.1	WP_025204445.1	WP_094918920.1	WP_094918920.1	WP_010429765.1
5	5	0.959	WP_008501052.1	WP_040016936.1	WP_008501052.1	WP_008501052.1	WP_003858677.1
5	5	0.959	WP_008501088.1	WP_010428702.1	WP_012016623.1	WP_012016623.1	WP_008501088.1
5	5	0.959	WP_010436174.1	WP_014171866.1	WP_013098992.1	WP_013098992.1	WP_014072004.1
5	5	0.959	WP_023310734.1	WP_014169101.1	WP_059386034.1	WP_059386034.1	WP_014069300.1
5	5	0.959	WP_023334424.1	WP_014168518.1	WP_025757481.1	WP_025757481.1	WP_014068794.1
5	5	0.959	WP_032638326.1	WP_020882784.1	WP_025760274.1	WP_025760274.1	WP_014069026.1
5	5	0.959	WP_032639115.1	WP_020884887.1	WP_025756097.1	WP_025756097.1	WP_014069490.1
5	5	0.959	WP_032639517.1	WP_040017112.1	WP_059385533.1	WP_059385533.1	WP_014069702.1
5	5	0.959	WP_032640438.1	WP_040017370.1	WP_155031113.1	WP_155031113.1	WP_014070151.1
5	5	0.959	WP_032640822.1	WP_040017594.1	WP_025759134.1	WP_025759134.1	WP_014070428.1
5	5	0.959	WP_032641814.1	WP_040018004.1	WP_025756281.1	WP_025756281.1	WP_014071054.1
5	5	0.959	WP_032642053.1	WP_040018828.1	WP_155031715.1	WP_155031715.1	WP_014071766.1
5	5	0.959	WP_032642996.1	WP_014171331.1	WP_155031624.1	WP_155031624.1	WP_014071487.1
5	5	0.959	WP_032643056.1	WP_020883831.1	WP_025757092.1	WP_025757092.1	WP_014071524.1
5	5	0.959	WP_032643637.1	WP_014171191.1	WP_023615984.1	WP_023615984.1	WP_014071357.1
5	5	0.959	WP_032643657.1	WP_040018164.1	WP_155031572.1	WP_155031572.1	WP_041162106.1
5	5	0.959	WP_032643673.1	WP_032680384.1	WP_155031656.1	WP_155031656.1	WP_014071569.1
5	5	0.959	WP_032643808.1	WP_014168315.1	WP_003855996.1	WP_003855996.1	WP_003855996.1
5	5	0.959	WP_032644372.1	WP_032679304.1	WP_155030493.1	WP_155030493.1	WP_014068305.1
5	5	0.959	WP_032644404.1	WP_014168048.1	WP_025758463.1	WP_025758463.1	WP_014068347.1
5	5	0.959	WP_032644446.1	WP_040018404.1	WP_155030517.1	WP_155030517.1	WP_014068388.1
5	5	0.959	WP_032644484.1	WP_040018420.1	WP_021242473.1	WP_021242473.1	WP_014068431.1
5	5	0.959	WP_032644533.1	WP_014171906.1	WP_155031814.1	WP_155031814.1	WP_014072062.1
5	5	0.959	WP_032644580.1	WP_040018212.1	WP_045285985.1	WP_045285985.1	WP_014072122.1
5	5	0.959	WP_032644607.1	WP_020884514.1	WP_104557184.1	WP_104557184.1	WP_014072187.1
5	5	0.959	WP_032644796.1	WP_014172137.1	WP_025757554.1	WP_025757554.1	WP_014072278.1
5	5	0.959	WP_077064066.1	WP_040017002.1	WP_155030895.1	WP_155030895.1	WP_014069483.1
5	5	0.959	WP_077064352.1	WP_040018714.1	WP_155031799.1	WP_155031799.1	WP_014072036.1
5	5	0.958	WP_000487600.1	WP_000487600.1	WP_000487600.1	WP_000487600.1	WP_000487600.1
5	5	0.958	WP_003859109.1	WP_000007630.1	WP_000007630.1	WP_000007630.1	WP_003021544.1
5	5	0.958	WP_003862116.1	WP_014171381.1	WP_059384998.1	WP_059384998.1	WP_014071539.1
5	5	0.958	WP_006176899.1	WP_006176899.1	WP_025756183.1	WP_025756183.1	WP_014069118.1
5	5	0.958	WP_006179159.1	WP_014172213.1	WP_025758808.1	WP_025758808.1	WP_006179159.1
5	5	0.958	WP_008501176.1	WP_014169260.1	WP_025757276.1	WP_025757276.1	WP_014069462.1
5	5	0.958	WP_008503237.1	WP_020884481.1	WP_008503237.1	WP_008503237.1	WP_014072225.1
5	5	0.958	WP_013097677.1	WP_025204775.1	WP_155030802.1	WP_155030802.1	WP_014069233.1
5	5	0.958	WP_014069365.1	WP_015386886.1	WP_015386886.1	WP_015386886.1	WP_014069365.1
5	5	0.958	WP_024909347.1	WP_025204344.1	WP_023311379.1	WP_023311379.1	WP_014069991.1
5	5	0.958	WP_032638939.1	WP_040016952.1	WP_059386064.1	WP_059386064.1	WP_014069395.1
5	5	0.958	WP_032640760.1	WP_040017572.1	WP_155031230.1	WP_155031230.1	WP_014070373.1
5	5	0.958	WP_032640799.1	WP_040017585.1	WP_155031249.1	WP_155031249.1	WP_014070414.1
5	5	0.958	WP_032641201.1	WP_020883437.1	WP_045285485.1	WP_045285485.1	WP_014070634.1
5	5	0.958	WP_032641359.1	WP_014170680.1	WP_094919080.1	WP_094919080.1	WP_014070724.1
5	5	0.958	WP_032641378.1	WP_020883362.1	WP_025760173.1	WP_025760173.1	WP_014070740.1
5	5	0.958	WP_032641725.1	WP_014170878.1	WP_045285177.1	WP_045285177.1	WP_014070994.1
5	5	0.958	WP_032643370.1	WP_014171591.1	WP_155031692.1	WP_155031692.1	WP_014071720.1
5	5	0.958	WP_032643501.1	WP_020883081.1	WP_155031530.1	WP_155031530.1	WP_014071256.1
